"Geographic Area Name (NAME)","Year (YEAR)","2017 NAPCS collection code (NAPCS2017)","Meaning of NAPCS collection code (NAPCS2017_LABEL)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Type of operation code (TYPOP_LABEL)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue of NAPCS collection code ($1,000) (NAPCSDOL)","Industry contribution to total NAPCS collection code sales, value of shipments, or revenue (%) (NAICSALL_PCT)","Range indicating percent of total NAPCS collection code sales, value of shipments, or revenue imputed (NAPCSDOL_IMP)","Relative standard error of NAPCS collection code sales, value of shipments, or revenue (%) (NAPCSDOL_S)"
"United States","2017","1000275000","Mining of run-of-mine (raw) anthracite for use without processing or for further processing ","00","Total for all sectors","All establishments","41","98,444","100.0","Less than 10%","1.3"
"United States","2017","1000300000","Mining of processed anthracite, washed by wet-washing, pneumatic, or other methods","00","Total for all sectors","All establishments","10","63,080","100.0","Less than 10%","0.7"
"United States","2017","1000325000","Mining of processed anthracite, mechanically crushed, screened, or sized only","00","Total for all sectors","All establishments","21","96,222","100.0","Less than 10%","1.4"
"United States","2017","1000350000","Extraction of crude petroleum, including lease condensate (volumes corrected to 60 degrees F)","00","Total for all sectors","All establishments","N","127,004,144","100.0","Less than 10%","0.2"
"United States","2017","1000375000","Mining of potassium salts and boron compounds","00","Total for all sectors","All establishments","12","1,070,614","100.0","Less than 10%","0.0"
"United States","2017","1000400000","Mining of sodium carbonate and sulfate, natural","00","Total for all sectors","All establishments","5","1,074,195","100.0","Less than 10%","0.0"
"United States","2017","1000425000","Extraction of isopentane and natural gasoline","00","Total for all sectors","All establishments","341","3,611,647","100.0","Less than 10%","1.3"
"United States","2017","1000450000","Extraction of propane (C3) (at least 80 percent purity)","00","Total for all sectors","All establishments","382","5,811,545","100.0","Less than 10%","0.7"
"United States","2017","1000475000","Extraction of butane (C4) (at least 80 percent purity)","00","Total for all sectors","All establishments","356","3,737,748","100.0","Less than 10%","0.7"
"United States","2017","1000500000","Extraction of plant condensate from natural gas liquids plants","00","Total for all sectors","All establishments","351","1,598,733","100.0","Less than 10%","1.4"
"United States","2017","1000525000","Extraction of ethane (C2) (at least 80 percent purity)","00","Total for all sectors","All establishments","307","4,813,473","100.0","Less than 10%","0.7"
"United States","2017","1000550000","Extraction of gas mixtures (C2, C3, and C4) from natural gas liquids plants","00","Total for all sectors","All establishments","163","2,625,414","100.0","Less than 10%","2.0"
"United States","2017","1000575000","Extraction of other natural gas liquids, including raw or unfractionated natural gas liquid streams with less than 80 percent purity","00","Total for all sectors","All establishments","477","8,391,727","100.0","Less than 10%","0.9"
"United States","2017","1000600000","Quarrying of industrial glass sand (unground and ground) for melting only","00","Total for all sectors","All establishments","19","95,919","100.0","Less than 10%","4.6"
"United States","2017","1000625000","Quarrying of industrial molding sand (unground and ground) ","00","Total for all sectors","All establishments","15","243,726","100.0","Less than 10%","0.0"
"United States","2017","1000650000","Quarrying of other industrial sand (unground and ground), including grinding, blast, furnace, engine, filtration, oil, etc","00","Total for all sectors","All establishments","168","2,160,894","100.0","Less than 10%","0.2"
"United States","2017","1000675000","Mining of kaolin, including mined and/or basic preparation for transport","00","Total for all sectors","All establishments","24","784,265","100.0","Less than 10%","0.0"
"United States","2017","1000700000","Mining of ball clay, including mined and/or basic preparation for transport","00","Total for all sectors","All establishments","6","61,950","100.0","Less than 10%","0.0"
"United States","2017","1000725000","Mining of bentonite, including mined and/or basic preparation for transport)","00","Total for all sectors","All establishments","34","367,244","100.0","Less than 10%","0.0"
"United States","2017","1000750000","Mining of fire clay, including mined and/or basic preparation for transport","00","Total for all sectors","All establishments","6","17,606","100.0","Less than 10%","0.0"
"United States","2017","1000775000","Mining of fuller's earth, including mined and/or basic preparation for transport","00","Total for all sectors","All establishments","7","120,615","100.0","Less than 10%","0.0"
"United States","2017","1000800000","Mining of feldspar, including mined and/or basic preparation for transport","00","Total for all sectors","All establishments","5","69,278","100.0","Less than 10%","0.0"
"United States","2017","1000825000","Mining of common (miscellaneous) clay and shale, including mined and/or basic preparation for transport","00","Total for all sectors","All establishments","21","133,866","100.0","Less than 10%","0.3"
"United States","2017","1000850000","Mining of other clay, ceramic, and refractory minerals, including magnesite and brucite, mined and/or basic preparation for transport","00","Total for all sectors","All establishments","20","166,775","100.0","Less than 10%","0.0"
"United States","2017","1000875000","Mining of crude and prepared phosphate rock, including crude ore or matrix, washed, concentrated, dried, calcined, sintered or nodulized","00","Total for all sectors","All establishments","9","1,582,289","100.0","Less than 10%","0.0"
"United States","2017","1000900000","Mining of rock salt","00","Total for all sectors","All establishments","24","525,807","100.0","Less than 10%","0.0"
"United States","2017","1000925000","Mining and/or benefication of diatomite","00","Total for all sectors","All establishments","4","85,656","100.0","Less than 10%","0.4"
"United States","2017","1000950000","Mining and/or benefication of gypsum","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","1000975000","Mining and/or benefication of talc, soapstone, and pyrophyllite","00","Total for all sectors","All establishments","10","91,853","100.0","Less than 10%","0.0"
"United States","2017","1001000000","Mining and/or benefication of mica","00","Total for all sectors","All establishments","4","40,214","100.0","Less than 10%","0.0"
"United States","2017","1001025000","Mining and/or benefication of pumice and pumicite","00","Total for all sectors","All establishments","8","28,756","100.0","Less than 10%","0.0"
"United States","2017","1001050000","Mining and/or benefication of perlite","00","Total for all sectors","All establishments","16","115,727","100.0","Less than 10%","0.1"
"United States","2017","1001075000","Mining and/or benefication of all other nonmetallic minerals, including natural abrasives, shell and native asphalt and bitumens","00","Total for all sectors","All establishments","75","273,455","100.0","Less than 10%","1.3"
"United States","2017","1001100000","Recovered elemental sulfur from natural gas","00","Total for all sectors","All establishments","10","52,875","100.0","Less than 10%","3.5"
"United States","2017","1001125000","Mining of other chemical and fertilizer materials (ores, fines, and concentrates, including fluorspar, pyrites, spodumene, mineral pigments, native sulfur, etc.)","00","Total for all sectors","All establishments","13","79,783","100.0","Less than 10%","0.0"
"United States","2017","1001150000","Mining of barite","00","Total for all sectors","All establishments","5","152,123","100.0","Less than 10%","0.0"
"United States","2017","1001175000","Mining of iron ore, including crude, concentrates, agglomerates and pellets","00","Total for all sectors","All establishments","18","3,463,017","100.0","Less than 10%","0.0"
"United States","2017","1001200000","Mining of gold ore","00","Total for all sectors","All establishments","157","10,122,115","100.0","Less than 10%","0.0"
"United States","2017","1001225000","Mining of silver ore","00","Total for all sectors","All establishments","63","778,467","100.0","Less than 10%","0.0"
"United States","2017","1001250000","Mining of lead ore and zinc ore","00","Total for all sectors","All establishments","17","2,353,970","100.0","Less than 10%","0.0"
"United States","2017","1001275000","Mining of copper ore and nickel ore","00","Total for all sectors","All establishments","47","9,078,995","100.0","Less than 10%","0.0"
"United States","2017","1001300000","Mining of crude uranium ores and concentrates, including radium and vanadium","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","1001325000","Mining of crude ferroalloy ores and concentrates, including manganese and manganiferous ores, chromium, molybdenum, tungsten, etc.","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","1001350000","Mining of miscellaneous metal ores and concentrates, including antimony, bauxite, beryllium, mercury, rare-earth metals, tin, and titanium","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","1001375000","Mining and/or benefication of peat","00","Total for all sectors","All establishments","13","29,620","100.0","Less than 10%","3.6"
"United States","2017","1001400000","Quarrying of rough dimension limestone","00","Total for all sectors","All establishments","131","201,309","100.0","Less than 10%","2.2"
"United States","2017","1001425000","Quarrying of rough dimension granite","00","Total for all sectors","All establishments","48","51,954","100.0","Less than 10%","1.8"
"United States","2017","1001450000","Quarrying of other rough dimension stone, including slate, marble, trap rock, sandstone, quartz, and miscellaneous stone","00","Total for all sectors","All establishments","207","298,809","100.0","Less than 10%","1.5"
"United States","2017","1001475000","Quarrying of construction sand and gravel (run of pit or bank, washed, screened, or otherwise treated)","00","Total for all sectors","All establishments","2,430","6,436,265","100.0","10% to less than 20%","0.4"
"United States","2017","1001500000","Quarrying of crushed and broken limestone, including dolomite, cement rock, marl, travertine, and calcareous tufa","00","Total for all sectors","All establishments","1,575","8,812,064","100.0","Less than 10%","0.1"
"United States","2017","1001525000","Quarrying of crushed and broken granite, including gneiss, syenite, and diorite","00","Total for all sectors","All establishments","301","2,404,853","100.0","Less than 10%","0.1"
"United States","2017","1001550000","Quarrying of bituminous limestone and bituminous sandstone","00","Total for all sectors","All establishments","22","49,353","100.0","30% to less than 40%","22.9"
"United States","2017","1001575000","Quarrying of other crushed and broken stone, including slate, marble, trap rock, quartz, and miscellaneous types of stone","00","Total for all sectors","All establishments","463","2,265,697","100.0","Less than 10%","0.8"
"United States","2017","1001600000","Oil and gas well directional drilling control","00","Total for all sectors","All establishments","N","2,102,512","100.0","Less than 10%","3.3"
"United States","2017","1001625000","Drilling oil and gas wells, including drilling in, spudding in, or tailing in","00","Total for all sectors","All establishments","N","15,008,547","100.0","Less than 10%","0.7"
"United States","2017","1001650000","Reworking oil and gas wells","00","Total for all sectors","All establishments","N","2,462,082","100.0","20% to less than 30%","3.3"
"United States","2017","1001675000","Oil and gas field exploration services, excluding mapping and surveying services","00","Total for all sectors","All establishments","N","2,316,670","100.0","10% to less than 20%","4.3"
"United States","2017","1001700000","Cementing oil and gas wells","00","Total for all sectors","All establishments","N","2,189,219","100.0","10% to less than 20%","2.6"
"United States","2017","1001725000","Oil and gas well logging","00","Total for all sectors","All establishments","N","1,602,960","100.0","10% to less than 20%","5.3"
"United States","2017","1001750000","Hydraulic fracturing of oil and gas wells","00","Total for all sectors","All establishments","N","15,447,682","100.0","Less than 10%","0.7"
"United States","2017","1001775000","Running, cutting, and pulling casings, tubes, or rods for oil and gas wells","00","Total for all sectors","All establishments","N","1,215,686","100.0","20% to less than 30%","5.8"
"United States","2017","1001800000","Oil and gas field gathering services","00","Total for all sectors","All establishments","N","2,188,240","100.0","Less than 10%","2.8"
"United States","2017","1001825000","Perforating oil and gas well casings","00","Total for all sectors","All establishments","N","995,142","100.0","10% to less than 20%","4.0"
"United States","2017","1001850000","Installing oil and gas field production equipment, including wellhead fittings, pumps, and engines","00","Total for all sectors","All establishments","N","2,517,055","100.0","10% to less than 20%","3.8"
"United States","2017","1001875000","Pumping oil and gas wells but not operating leases","00","Total for all sectors","All establishments","N","2,388,494","100.0","10% to less than 20%","3.9"
"United States","2017","1001900000","Other oil and gas field repair and maintenance services","00","Total for all sectors","All establishments","N","9,421,230","100.0","10% to less than 20%","1.9"
"United States","2017","1001925000","All other oil and gas field services ","00","Total for all sectors","All establishments","N","24,676,679","100.0","10% to less than 20%","1.1"
"United States","2017","1001950000","Coal mining prospect and test drilling services","00","Total for all sectors","All establishments","N","120,254","100.0","10% to less than 20%","5.9"
"United States","2017","1001975000","Sinking coal mine shafts and driving coal mine tunnels services","00","Total for all sectors","All establishments","N","110,981","100.0","Less than 10%","5.1"
"United States","2017","1002000000","Other coal mining services, including strip, auger or underground mining, drilling, overburden stripping, recovering culm bank, and repair and maintenance services not for your own account","00","Total for all sectors","All establishments","N","959,283","100.0","Less than 10%","1.9"
"United States","2017","1002025000","Metal mining exploration work, excluding prospect services, test drilling, and geophysical surveying services","00","Total for all sectors","All establishments","N","348,035","100.0","Less than 10%","1.7"
"United States","2017","1002050000","Open-pit metal ores mining not for your own account","00","Total for all sectors","All establishments","N","147,599","100.0","Less than 10%","2.0"
"United States","2017","1002075000","Metal mining prospect services and test drilling services","00","Total for all sectors","All establishments","N","D","D","D","D"
"United States","2017","1002100000","Sinking metal mine shafts and driving metal mine tunnels services","00","Total for all sectors","All establishments","N","D","D","D","D"
"United States","2017","1002125000","Other metal mining services, including overburden stripping and repair and maintenance services","00","Total for all sectors","All establishments","N","126,188","100.0","10% to less than 20%","6.4"
"United States","2017","1002150000","Open-pit or quarry nonmetallic minerals mining not for your own account","00","Total for all sectors","All establishments","N","1,003,516","100.0","10% to less than 20%","6.4"
"United States","2017","1002175000","Nonmetallic mineral prospect services and test drilling services","00","Total for all sectors","All establishments","N","71,093","100.0","Less than 10%","3.5"
"United States","2017","1002200000","Other nonmetallic mineral services, including overburden stripping, drilling services, blasting, and repair and maintenance services","00","Total for all sectors","All establishments","N","500,701","100.0","Less than 10%","5.1"
"United States","2017","1002225000","Other mining revenue, not elsewhere classified","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2000025000","Manufacturing of beef, fresh and frozen whole carcass and half carcass, not canned or made into sausage","00","Total for all sectors","All establishments","251","4,440,827","100.0","Less than 10%","0.4"
"United States","2017","2000050000","Manufacturing of veal, fresh and frozen whole carcass and half carcass, not canned or made into sausage","00","Total for all sectors","All establishments","40","55,356","100.0","20% to less than 30%","3.9"
"United States","2017","2000075000","Manufacturing of pork, fresh and frozen whole carcass and half carcass, not canned or made into sausage","00","Total for all sectors","All establishments","171","714,043","100.0","Less than 10%","1.1"
"United States","2017","2000100000","Manufacturing of lamb, mutton, and other meat, fresh and frozen whole carcass and half carcass","00","Total for all sectors","All establishments","98","229,060","100.0","Less than 10%","0.5"
"United States","2017","2000125000","Manufacturing of beef, fresh and frozen variety meats (edible organs), not canned or made into sausage","00","Total for all sectors","All establishments","492","3,299,199","100.0","Less than 10%","1.1"
"United States","2017","2000150000","Manufacturing of beef, fresh and frozen primal cuts, subprimal cuts (boxed beef), boneless, and corned beef, not canned or made into sausage","00","Total for all sectors","All establishments","641","42,776,191","100.0","Less than 10%","0.4"
"United States","2017","2000175000","Manufacturing of veal, not canned or made into sausage","00","Total for all sectors","All establishments","60","271,869","100.0","Less than 10%","3.2"
"United States","2017","2000200000","Manufacturing of pork, fresh and frozen cuts","00","Total for all sectors","All establishments","512","20,765,170","100.0","Less than 10%","0.1"
"United States","2017","2000225000","Manufacturing of young chickens (usually under 20 weeks of age), including bulk, chilled, frozen, whole, and parts","00","Total for all sectors","All establishments","331","35,528,405","100.0","Less than 10%","0.0"
"United States","2017","2000250000","Manufacturing of hens and fowl, including frozen, whole, and parts","00","Total for all sectors","All establishments","38","2,583,477","100.0","Less than 10%","0.1"
"United States","2017","2000275000","Manufacturing of turkeys, including frozen, whole, and parts","00","Total for all sectors","All establishments","95","6,612,918","100.0","Less than 10%","0.0"
"United States","2017","2000300000","Manufacturing of other poultry and small game, including frozen, whole, and parts","00","Total for all sectors","All establishments","36","579,055","100.0","Less than 10%","18.9"
"United States","2017","2000325000","Manufacturing of other meat, fresh and frozen cuts","00","Total for all sectors","All establishments","119","243,454","100.0","Less than 10%","1.5"
"United States","2017","2000350000","Manufacturing of processed poultry and small game (excluding soups), containing 20 percent or more poultry or meat","00","Total for all sectors","All establishments","461","22,212,013","100.0","Less than 10%","0.1"
"United States","2017","2000375000","Manufacturing of pork, processed or cured, not canned or made into sausage","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2000400000","Manufacturing of sausage and similar products, excluding canned","00","Total for all sectors","All establishments","1,478","16,352,323","100.0","Less than 10%","0.8"
"United States","2017","2000425000","Manufacturing of canned meats (excluding dog, cat, and baby food)","00","Total for all sectors","All establishments","56","1,916,062","100.0","Less than 10%","0.2"
"United States","2017","2000430000","Manufacturing of natural sausage casings (beef, hog, etc.)","00","Total for all sectors","All establishments","68","317,746","100.0","Less than 10%","0.7"
"United States","2017","2000435000","Manufacturing of edible collagen sausage casings","00","Total for all sectors","All establishments","38","137,810","100.0","Less than 10%","0.8"
"United States","2017","2000450000","Manufacturing of boxed meat (beef, pork, lamb, etc.)","00","Total for all sectors","All establishments","423","6,798,854","100.0","Less than 10%","0.5"
"United States","2017","2000475000","Manufacturing of frozen ground meat patties, portion control meats, pork rind pellets (including pork cracklings), and other processed, frozen, or cooked meats","00","Total for all sectors","All establishments","719","22,834,177","100.0","Less than 10%","0.2"
"United States","2017","2000500000","Manufacturing of prepared fresh seafood (including fresh surimi and surimi-based products, roe, and squid)","00","Total for all sectors","All establishments","325","3,289,638","100.0","10% to less than 20%","2.6"
"United States","2017","2000525000","Manufacturing of prepared frozen fish","00","Total for all sectors","All establishments","255","5,585,685","100.0","10% to less than 20%","4.5"
"United States","2017","2000550000","Manufacturing of prepared frozen shellfish","00","Total for all sectors","All establishments","147","1,880,032","100.0","10% to less than 20%","4.7"
"United States","2017","2000575000","Manufacturing of other prepared frozen seafood, including frozen surimi and surimi-based products, soups, stews, chowders, pies, fishcakes, crabcakes, shrimpcakes, etc.","00","Total for all sectors","All establishments","126","1,055,003","100.0","10% to less than 20%","6.3"
"United States","2017","2000600000","Manufacturing of canned seafood (including soups, stews, and chowders); smoked, salted, and other cured seafood","00","Total for all sectors","All establishments","76","1,230,823","100.0","Less than 10%","15.8"
"United States","2017","2000625000","Manufacturing of dry and modified dry whey products (including dry lactose), food grade (bakeries, confectioners, meat packers, etc.), shipped in bulk (more than 3 lb)","00","Total for all sectors","All establishments","93","2,543,750","100.0","Less than 10%","0.0"
"United States","2017","2000650000","Manufacturing of dry milk products and mixtures (dry milk, dry buttermilk, dry whey, etc.), feed grade, shipped in bulk (more than 3 lb)","00","Total for all sectors","All establishments","86","1,429,879","100.0","Less than 10%","1.2"
"United States","2017","2000675000","Manufacturing of dry milk, nonfat, infants' formula, and other types (weight control products, whole milk powder, malted milk powder, etc.), shipped in consumer-type packages (3 lb or less)","00","Total for all sectors","All establishments","66","6,173,611","100.0","Less than 10%","0.0"
"United States","2017","2000700000","Manufacturing of dry milk (whole, nonfat, and other), food grade (bakeries, confectioners, meat packers, etc.), shipped in bulk (more than 3 lb)","00","Total for all sectors","All establishments","79","2,420,927","100.0","Less than 10%","0.3"
"United States","2017","2000725000","Manufacturing of whole fluid milk, packaged, excluding U.H.T. and flavored","00","Total for all sectors","All establishments","290","5,945,493","100.0","Less than 10%","0.1"
"United States","2017","2000750000","Manufacturing of 2% reduced fat milk, 1% lowfat milk, and 0.5% milk, packaged, excluding U.H.T. and flavored","00","Total for all sectors","All establishments","243","5,523,972","100.0","Less than 10%","0.0"
"United States","2017","2000775000","Manufacturing of fat-free or skim milk, packaged, excluding U.H.T. and flavored","00","Total for all sectors","All establishments","228","1,448,384","100.0","Less than 10%","0.1"
"United States","2017","2000800000","Manufacturing of fluid milk and cream, bulk sales (including whole milk, 2% reduced fat, 1% lowfat, skim or fat-free milk, flavored milk, buttermilk, eggnog, etc.)","00","Total for all sectors","All establishments","382","6,646,173","100.0","Less than 10%","0.0"
"United States","2017","2000825000","Manufacturing of U.H.T., lactose-free, and flavored fluid milk, packaged","00","Total for all sectors","All establishments","173","2,680,271","100.0","Less than 10%","0.0"
"United States","2017","2000850000","Manufacturing of yogurt, excluding frozen","00","Total for all sectors","All establishments","196","6,809,343","100.0","Less than 10%","0.1"
"United States","2017","2000875000","Manufacturing of creamery butter","00","Total for all sectors","All establishments","141","5,456,521","100.0","Less than 10%","0.0"
"United States","2017","2000900000","Manufacturing of natural cheese (cheddar, Swiss, Italian, brick, cream, grated, dried, etc.), excluding cottage cheese","00","Total for all sectors","All establishments","525","34,952,780","100.0","Less than 10%","0.1"
"United States","2017","2000925000","Manufacturing of process cheese, shipped in consumer packages or containers","00","Total for all sectors","All establishments","94","3,370,425","100.0","Less than 10%","0.0"
"United States","2017","2000950000","Manufacturing of all other process cheese and related products","00","Total for all sectors","All establishments","111","3,699,031","100.0","Less than 10%","0.3"
"United States","2017","2000975000","Manufacturing of cottage cheese (including bakers', pot, and farmers' cheese)","00","Total for all sectors","All establishments","143","889,143","100.0","Less than 10%","0.1"
"United States","2017","2001000000","Manufacturing of raw liquid whey","00","Total for all sectors","All establishments","95","352,887","100.0","Less than 10%","0.0"
"United States","2017","2001025000","Manufacturing of ice cream, including custards (excluding lowfat and nonfat), shipped in bulk (containers 3 gallons or more)","00","Total for all sectors","All establishments","145","348,741","100.0","Less than 10%","1.5"
"United States","2017","2001050000","Manufacturing of ice cream, including custards (excluding lowfat and nonfat), shipped in consumer sizes less than 3 gallons","00","Total for all sectors","All establishments","333","4,167,460","100.0","Less than 10%","0.2"
"United States","2017","2001075000","Manufacturing of ice cream, including custards (excluding lowfat and nonfat), novelty forms","00","Total for all sectors","All establishments","199","1,820,017","100.0","Less than 10%","0.4"
"United States","2017","2001100000","Manufacturing of ice cream, including custards, lowfat and nonfat","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2001125000","Manufacturing of other frozen desserts (yogurt, sherbet, water ices, mellorine, frozen pudding, etc.)","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2001150000","Manufacturing of canned milk products, including evaporated, condensed, milk-based infants' formula (liquid), whole milk, and other, shipped in consumer-type cans, excluding substitutes","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2001175000","Manufacturing of other packaged milk products, including flavored sour cream dips, eggnog, buttermilk, acidophilus, reconstituted, reduced milk, etc.","00","Total for all sectors","All establishments","155","1,105,667","100.0","Less than 10%","0.4"
"United States","2017","2001200000","Manufacturing of other fluid milk related products, (including heavy cream, light coffee cream, unflavored sour cream, half and half, and whipped topping with butterfat base), packaged","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2001225000","Manufacturing of ice cream mixes and related products, including lowfat and nonfat, sherbet, yogurt, milkshake, and other milk-based mixes","00","Total for all sectors","All establishments","177","1,498,973","100.0","Less than 10%","0.0"
"United States","2017","2001250000","Manufacturing of concentrated milk products, shipped in bulk (barrels, drums, and tanks)","00","Total for all sectors","All establishments","94","1,035,763","100.0","Less than 10%","0.3"
"United States","2017","2001275000","Manufacturing of perishable dairy product substitutes, including soy milk, rice milk, almond milk, oat milk, flavored dip, whipped topping, coffee whitener, sour cream, flavored milk drink substitutes, etc.","00","Total for all sectors","All establishments","110","2,488,825","100.0","Less than 10%","0.2"
"United States","2017","2001300000","Manufacturing of dry and/or canned dairy product substitutes, including dry coffee whitener, infants' formula, and sour cream, whipped topping, and canned liquid infants' formula, dietary supplements, and weight control products","00","Total for all sectors","All establishments","51","2,134,966","100.0","Less than 10%","0.7"
"United States","2017","2001325000","Manufacturing of cheese substitutes and imitations","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2001350000","Manufacturing of frozen whipped topping, dairy or nondairy base, and other frozen dairy product substitutes, excluding mellorine and similar products","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2001375000","Manufacturing of bread (white, wheat, rye, etc.) and rolls, bread-type (including English muffins, bagels, and croissants), including frozen","00","Total for all sectors","All establishments","28,886","28,458,081","100.0","20% to less than 30%","0.9"
"United States","2017","2001400000","Manufacturing of soft cakes, (snack, fruit, pound, layer, cheese, etc.), excluding frozen","00","Total for all sectors","All establishments","23,673","8,788,986","100.0","40% to less than 50%","1.8"
"United States","2017","2001425000","Manufacturing of pies (fruit, cream, and custard), excluding frozen","00","Total for all sectors","All establishments","16,448","1,086,340","100.0","40% to less than 50%","4.1"
"United States","2017","2001450000","Manufacturing of other sweet goods (doughnuts, pastries, coffee cakes. etc.), excluding cookies and frozen sweets","00","Total for all sectors","All establishments","21,410","6,362,680","100.0","30% to less than 40%","2.9"
"United States","2017","2001475000","Manufacturing of frozen cakes, pies, and other pastries","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2001500000","Manufacturing of tortillas, sold in bulk or packages, excluding frozen or canned","00","Total for all sectors","All establishments","415","3,543,796","100.0","Less than 10%","0.4"
"United States","2017","2001525000","Manufacturing of cracker sandwiches","00","Total for all sectors","All establishments","45","1,678,583","100.0","Less than 10%","1.2"
"United States","2017","2001550000","Manufacturing of saltines and all other crackers, cracker meal and crumbs, biscuits, and related products","00","Total for all sectors","All establishments","235","2,948,638","100.0","Less than 10%","1.6"
"United States","2017","2001575000","Manufacturing of cookies, wafers, and ice cream cones and cups (excluding frozen)","00","Total for all sectors","All establishments","18,925","7,221,120","100.0","20% to less than 30%","1.3"
"United States","2017","2001600000","Manufacturing of cake mixes, including gingerbread","00","Total for all sectors","All establishments","60","537,355","100.0","20% to less than 30%","9.1"
"United States","2017","2001625000","Manufacturing of flour mixes, including refrigerated and frozen doughs and batters, excluding cake mixes","00","Total for all sectors","All establishments","642","9,173,621","100.0","10% to less than 20%","2.8"
"United States","2017","2001650000","Manufacturing of table salt","00","Total for all sectors","All establishments","50","246,929","100.0","Less than 10%","15.4"
"United States","2017","2001675000","Manufacturing of pepper, white and black, and other spices in consumer sizes (less than 1 lb)","00","Total for all sectors","All establishments","107","1,879,930","100.0","Less than 10%","5.9"
"United States","2017","2001700000","Manufacturing of pepper, white and black, and other spices in commercial sizes (1 lb or more)","00","Total for all sectors","All establishments","89","905,810","100.0","10% to less than 20%","17.5"
"United States","2017","2001710000","Manufacturing of raw cane sugar, sugarcane molasses, syrup, and blackstrap and all other sugarcane mill products and byproducts without further processing","00","Total for all sectors","All establishments","26","2,421,562","100.0","Less than 10%","0.1"
"United States","2017","2001725000","Manufacturing of refined sugar, cube and tablet, shipped in small individual packets or consumer units","00","Total for all sectors","All establishments","23","1,277,990","100.0","Less than 10%","0.6"
"United States","2017","2001750000","Manufacturing of refined granulated sugar, including cube and tablet sugar, shipped in commercial units (bags and other containers greater than 25 lb)","00","Total for all sectors","All establishments","20","857,647","100.0","Less than 10%","0.1"
"United States","2017","2001775000","Manufacturing of refined granulated sugar, including cube and tablet sugar, shipped in bulk (rail cars, trucks, or bins)","00","Total for all sectors","All establishments","37","4,500,516","100.0","Less than 10%","0.1"
"United States","2017","2001800000","Manufacturing of other sugar refining products and byproducts","00","Total for all sectors","All establishments","42","972,843","100.0","Less than 10%","0.8"
